nmmunicipiocredor,nmfuncao,vlempenhado,vlliquidado,vlpagoorcamentario,valor_total
BALNEARIO GAIVOTA,Educação,0.0,2454579.0,2454579.0,4909158.0
BALNEARIO GAIVOTA,Saúde,0.0,0.0,0.0,0.0
BALNEARIO GAIVOTA,Transporte,0.0,150000.0,150000.0,300000.0
BALNEARIO RINCAO,Educação,0.0,1147613.0,1147613.0,2295226.0
BALNEARIO RINCAO,Saúde,0.0,9570.0,14355.0,23925.0
BANDEIRANTE,Educação,0.0,100000.0,100000.0,200000.0
BANDEIRANTE,Saúde,0.0,0.0,0.0,0.0
BARRA BONITA,Agricultura,0.0,300000.0,300000.0,600000.0
BARRA BONITA,Educação,0.0,0.0,0.0,0.0
BARRA BONITA,Saúde,0.0,1590.0,2385.0,3975.0
BARRA BONITA,Transporte,0.0,250000.0,250000.0,500000.0
BARRA VELHA,Educação,0.0,77931.0,77931.0,155862.0
BARRA VELHA,Saúde,0.0,21876.0,32814.0,54690.0
BARRA VELHA,Transporte,0.0,200000.0,200000.0,400000.0
BELA VISTA DO TOLDO,Agricultura,0.0,100000.0,100000.0,200000.0
BELA VISTA DO TOLDO,Educação,0.0,20000.0,20000.0,40000.0
BELA VISTA DO TOLDO,Saúde,0.0,0.0,0.0,0.0
BELMONTE,Educação,0.0,0.0,0.0,0.0
BELMONTE,Saúde,0.0,0.0,0.0,0.0
BENEDITO NOVO,Educação,0.0,300.0,300.0,600.0
BENEDITO NOVO,Saúde,0.0,0.0,0.0,0.0
BIGUACU,Educação,0.0,1630.0,1630.0,3260.0
BIGUACU,Saúde,0.0,92250.0,12375.0,104625.0
BLUMENAU,Educação,0.0,92604.0,1530.0,94134.0
BLUMENAU,Saúde,-1850000.0,4460790.0,4641423.0,7252213.0
BOCAINA DO SUL,Agricultura,0.0,1130000.0,1130000.0,2260000.0
BOCAINA DO SUL,Educação,0.0,22974.0,0.0,22974.0
BOCAINA DO SUL,Saúde,0.0,198184.0,198184.0,396368.0
BOM JARDIM DA SERRA,Agricultura,0.0,350000.0,350000.0,700000.0
BOM JARDIM DA SERRA,Educação,0.0,80200.0,80200.0,160400.0
BOM JARDIM DA SERRA,Saúde,0.0,0.0,0.0,0.0
BOM JARDIM DA SERRA,Transporte,0.0,0.0,0.0,0.0
BOM JESUS,Agricultura,0.0,300000.0,0.0,300000.0
BOM JESUS,Assistência Social,0.0,250000.0,250000.0,500000.0
BOM JESUS,Educação,0.0,880000.0,880000.0,1760000.0
BOM JESUS,Saúde,0.0,0.0,0.0,0.0
BOM JESUS,Transporte,0.0,300000.0,300000.0,600000.0
